WellName,WellType,WellDepth,TVD,Layer,Lithology,FormationStructure,WOB,RPM,TOR,PumpPressure,Displacement,Density,ECD,HookLoad,ROP,DrillTime,DC,LagTime,OutletFlow,FormationPressureGradient,FormationRupturePressureGradient,TheoreticalMaximumDisplacement,DisPumpRatio,LostCirculation,MLR
2,0,3611,3611,1,0,1,9.4,80,11.12,2.5,1104,1.35,1.36,155.9,7.9,7.6,0.81,207.86,25.4,1.03,2.02,4346.456693,441.6,1,0.638
2,0,3612,3612,1,0,1,9.18,80,11.09,3.26,1269,1.35,1.36,156.1,7.6,7.9,0.82,173.94,25.3,1.03,2.02,5015.810277,389.2638037,1,0.618
3,0,3260,3260,1,0,1,7.43,60,16.37,3.28,1507,1.25,1.26,147.9,13.9,4.3,0.86,137.07,27.6,1.03,1.98,5460.144928,459.4512195,0,0.488
3,0,3261,3261,1,0,1,7.45,60,15.24,3.31,1507,1.25,1.26,147.9,9.9,6,0.93,137.12,27.5,1.03,1.98,5480,455.2870091,0,0.478
5,0,3456,3456,1,0,1,4.5,60,5.5,12.67,1814,1.4,1.45,138.7,11.1,5.4,0.76,47.7,33.1,1.22,2.04,5480.362538,143.1728493,0,0.438
4,0,4359,4359,4,8,0,10.82,70,9.76,13.15,1516,1.45,1.44,163.4,7.6,7.8,1.08,67.56,29.2,1.26,2.13,5191.780822,115.2851711,0,0.568
4,0,4361,4361,4,8,0,10.95,70,9.52,13.25,1516,1.45,1.44,163.2,6.7,9,1.11,67.58,29.3,1.23,2.12,5174.061433,114.4150943,1,0.573
2,0,3613,3613,1,0,1,9.67,80,11.4,4.33,1479,1.35,1.36,155.6,7.5,8,0.83,151.9,25.2,1.03,2.02,5869.047619,341.5704388,1,0.615
2,0,3614,3614,1,0,1,9.1,76,10.48,5.64,1733,1.35,1.35,156.1,7.2,8.3,0.82,68.59,24.5,1.03,2.02,7073.469388,307.2695035,0,0.582
2,0,3615,3615,1,0,1,6.69,50,11.52,6.47,2025,1.35,1.35,157.5,7.9,7.6,0.67,151.99,30.3,1.03,2.02,6683.168317,312.9829985,1,0.587
